(2, 16)
(20, 31)
(203, 217)
(305, 311)
(714, 720)
(734, 759)
(766, 772)
(1254, 1260)
(2010, 2016)
(2100, 2106)
(2204, 2210)
(2266, 2272)
(2297, 2303)
(2618, 2624)
(2635, 2657)
(2679, 2685)
(2800, 2806)
(3088, 3094)
(3222, 3228)
(3591, 3597)
(4123, 4129)
(4241, 4247)
(4262, 4268)
(4329, 4360)
(4366, 4381)
(4396, 4402)
(4406, 4412)
(4559, 4571)
(4609, 4615)
(4984, 4990)
(5406, 5412)
(5450, 5456)
(5468, 5476)
(5509, 5519)
(5526, 5533)
(5537, 5559)
(5565, 5571)
(5600, 5607)
(6018, 6026)
(6030, 6037)
(6668, 6674)
(7110, 7116)
(7142, 7148)
(7548, 7554)
(7756, 7762)
(7839, 7845)
(7879, 7885)
(7890, 7896)
(8099, 8105)
(8303, 8309)
(8339, 8345)
(8417, 8424)
(8430, 8442)
(8502, 8508)
(8527, 8533)
(8549, 8577)
(8624, 8630)
(8640, 8646)
(9025, 9039)
(9274, 9280)
(9307, 9313)
(9344, 9350)
(9366, 9375)
(9419, 9435)
(9486, 9492)
(9543, 9557)
(9561, 9567)
(9583, 9598)
(9618, 9624)
(9656, 9662)
(9826, 9832)
(9849, 9872)
(10130, 10136)
(10269, 10275)
(10459, 10465)
(10498, 10504)
(10595, 10601)
(10667, 10673)
